flexibility,bottleneck_factor,size,in_cap,out_cap,blocked,share_blocked,swaps,h_tightness
1,1.5,10-12j_4-6m,5,2,4.3,0.8,1.4,1.022564988598427
1,1.5,10-12j_4-6m,3,1,12.4,1.0,3.5,1.0328261040510514
1,1.5,10-12j_4-6m,2,1,13.3,1.0,3.4,1.0383457139619263
1,1.5,10-12j_4-6m,1,1,13.7,1.0,3.4,1.0380617416914217
1,1.5,10-12j_4-6m,1,0,49.5,1.0,26.2,1.0467196541285186
1,1.5,10-12j_4-6m,0,0,49.5,1.0,30.6,1.069838360438315
1,1.5,12-15j_4-6m,5,2,6.1,0.9,1.9,1.0024242126852263
1,1.5,12-15j_4-6m,3,1,10.7,1.0,2.5,1.013219193932126
1,1.5,12-15j_4-6m,2,1,11.9,1.0,3.2,1.0171456356305209
1,1.5,12-15j_4-6m,1,1,13.3,1.0,4.0,1.0247792322883482
1,1.5,12-15j_4-6m,1,0,59.8,1.0,35.1,1.0477375921671497
1,1.5,12-15j_4-6m,0,0,59.8,1.0,38.1,1.05930102306702
1,2.0,10-12j_4-6m,5,2,4.3,0.8,1.4,1.0120827159628258
1,2.0,10-12j_4-6m,3,1,12.0,1.0,3.4,1.0184270826840487
1,2.0,10-12j_4-6m,2,1,13.1,1.0,3.4,1.023166430698093
1,2.0,10-12j_4-6m,1,1,14.0,1.0,3.5,1.0237217230770583
1,2.0,10-12j_4-6m,1,0,49.5,1.0,26.4,1.0258648381266169
1,2.0,10-12j_4-6m,0,0,49.5,1.0,30.6,1.045335913243178
1,2.0,12-15j_4-6m,5,2,4.9,0.9,1.7,1.0030431392097172
1,2.0,12-15j_4-6m,3,1,10.8,1.0,2.5,1.007143594083617
1,2.0,12-15j_4-6m,2,1,11.4,1.0,3.0,1.0107938802977423
1,2.0,12-15j_4-6m,1,1,12.9,1.0,3.6,1.0113288421287518
1,2.0,12-15j_4-6m,1,0,59.8,1.0,34.8,1.0282067883688233
1,2.0,12-15j_4-6m,0,0,59.8,1.0,38.0,1.0382841355770362
1,3.0,10-12j_4-6m,5,2,3.9,0.8,1.4,1.0044499885120701
1,3.0,10-12j_4-6m,3,1,11.9,1.0,3.4,1.009207839369408
1,3.0,10-12j_4-6m,2,1,12.8,1.0,3.4,1.0080651643166774
1,3.0,10-12j_4-6m,1,1,13.9,1.0,4.2,1.0132048206357145
1,3.0,10-12j_4-6m,1,0,49.5,1.0,26.7,1.011123267125125
1,3.0,10-12j_4-6m,0,0,49.5,1.0,30.5,1.0237698730548201
1,3.0,12-15j_4-6m,5,2,5.0,0.9,1.7,1.001564755912446
1,3.0,12-15j_4-6m,3,1,10.9,1.0,2.5,1.003781086218673
1,3.0,12-15j_4-6m,2,1,10.9,1.0,2.2,1.005653796892556
1,3.0,12-15j_4-6m,1,1,12.9,1.0,3.5,1.0072361039441293
1,3.0,12-15j_4-6m,1,0,59.8,1.0,34.7,1.01635461529594
1,3.0,12-15j_4-6m,0,0,59.8,1.0,38.0,1.0208914394899626
2,1.5,10-12j_4-6m,5,2,1.7,0.5,0.3,1.0202276095405867
2,1.5,10-12j_4-6m,3,1,11.1,1.0,0.7,1.0580622184121107
2,1.5,10-12j_4-6m,2,1,13.8,1.0,1.5,1.0725164460440446
2,1.5,10-12j_4-6m,1,1,18.0,1.0,3.3,1.2712849524186214
2,1.5,10-12j_4-6m,1,0,48.2,1.0,14.2,1.4115732910819647
2,1.5,10-12j_4-6m,0,0,48.2,1.0,19.6,1.6182960043896177
2,1.5,12-15j_4-6m,5,2,2.3,0.6,0.0,0.9890125583586153
2,1.5,12-15j_4-6m,3,1,21.2,1.0,1.4,1.0866680318157922
2,1.5,12-15j_4-6m,2,1,22.9,1.0,3.1,1.1274383856618517
2,1.5,12-15j_4-6m,1,1,26.3,1.0,3.4,1.179110819345182
2,1.5,12-15j_4-6m,1,0,60.2,1.0,19.3,1.512260110546577
2,1.5,12-15j_4-6m,0,0,60.2,1.0,26.7,1.7026047843318028
2,2.0,10-12j_4-6m,5,2,1.9,0.5,0.3,1.017404141002409
2,2.0,10-12j_4-6m,3,1,13.2,1.0,1.2,1.0345994353885168
2,2.0,10-12j_4-6m,2,1,14.7,1.0,1.1,1.061867986078018
2,2.0,10-12j_4-6m,1,1,17.1,1.0,2.7,1.1810852691504476
2,2.0,10-12j_4-6m,1,0,48.2,1.0,13.8,1.3470684697264619
2,2.0,10-12j_4-6m,0,0,48.2,1.0,19.7,1.5221871830212808
2,2.0,12-15j_4-6m,5,2,3.4,0.7,0.0,0.9923901024798475
2,2.0,12-15j_4-6m,3,1,22.3,1.0,2.0,1.0584606937149599
2,2.0,12-15j_4-6m,2,1,24.8,1.0,2.2,1.1060001758708768
2,2.0,12-15j_4-6m,1,1,26.3,1.0,4.1,1.1554841038624386
2,2.0,12-15j_4-6m,1,0,60.2,1.0,20.7,1.479948668257269
2,2.0,12-15j_4-6m,0,0,60.2,1.0,26.6,1.624017208386509
2,3.0,10-12j_4-6m,5,2,2.4,0.5,0.2,1.0134249516297782
2,3.0,10-12j_4-6m,3,1,15.3,1.0,1.2,1.0375496865569889
2,3.0,10-12j_4-6m,2,1,16.6,1.0,1.3,1.0490208984666984
2,3.0,10-12j_4-6m,1,1,16.2,1.0,3.3,1.1486745125581437
2,3.0,10-12j_4-6m,1,0,48.2,1.0,13.9,1.2841325393874814
2,3.0,10-12j_4-6m,0,0,48.2,1.0,20.4,1.4849951399184549
2,3.0,12-15j_4-6m,5,2,3.9,0.8,0.0,0.998810324390463
2,3.0,12-15j_4-6m,3,1,22.7,1.0,1.7,1.056223234812609
2,3.0,12-15j_4-6m,2,1,25.3,1.0,2.5,1.0821624666573841
2,3.0,12-15j_4-6m,1,1,26.4,1.0,4.5,1.1224797670982771
2,3.0,12-15j_4-6m,1,0,60.2,1.0,20.3,1.426922230623438
2,3.0,12-15j_4-6m,0,0,60.2,1.0,26.4,1.540418069541461
3,1.5,10-12j_4-6m,5,2,0.4,0.2,0.1,1.0118867466872017
3,1.5,10-12j_4-6m,3,1,8.3,0.8,0.9,1.0629892437472732
3,1.5,10-12j_4-6m,2,1,12.1,1.0,1.5,1.0920644642617923
3,1.5,10-12j_4-6m,1,1,15.5,1.0,1.5,1.2617544083166963
3,1.5,10-12j_4-6m,1,0,49.3,1.0,13.9,1.836045514085728
3,1.5,10-12j_4-6m,0,0,49.3,1.0,20.8,2.045961648934164
3,1.5,12-15j_4-6m,5,2,0.6,0.3,0.0,0.9997847919655667
3,1.5,12-15j_4-6m,3,1,12.2,0.9,0.7,1.0796601551842002
3,1.5,12-15j_4-6m,2,1,18.3,1.0,0.8,1.209219453760626
3,1.5,12-15j_4-6m,1,1,22.8,1.0,1.7,1.387422391856531
3,1.5,12-15j_4-6m,1,0,62.9,1.0,20.0,2.1059850225661494
3,1.5,12-15j_4-6m,0,0,62.9,1.0,25.5,2.44187814431809
3,2.0,10-12j_4-6m,5,2,0.4,0.2,0.0,0.99783989641041
3,2.0,10-12j_4-6m,3,1,8.9,0.8,1.4,1.0701849518693782
3,2.0,10-12j_4-6m,2,1,13.2,1.0,2.1,1.1582921163625144
3,2.0,10-12j_4-6m,1,1,16.6,1.0,1.6,1.192225542290795
3,2.0,10-12j_4-6m,1,0,49.3,1.0,14.4,1.720950829267938
3,2.0,10-12j_4-6m,0,0,49.3,1.0,21.0,1.995313484541133
3,2.0,12-15j_4-6m,5,2,0.6,0.4,0.0,1.0
3,2.0,12-15j_4-6m,3,1,12.0,1.0,0.4,1.0482947558798767
3,2.0,12-15j_4-6m,2,1,20.9,1.0,0.7,1.215423346139575
3,2.0,12-15j_4-6m,1,1,22.2,1.0,1.4,1.2867504017479205
3,2.0,12-15j_4-6m,1,0,62.9,1.0,19.8,1.9700557128735796
3,2.0,12-15j_4-6m,0,0,62.9,1.0,25.4,2.272900009187316
3,3.0,10-12j_4-6m,5,2,0.8,0.4,0.0,0.9985225996807798
3,3.0,10-12j_4-6m,3,1,11.0,0.9,1.1,1.0502798624702854
3,3.0,10-12j_4-6m,2,1,14.4,1.0,1.3,1.113674700604253
3,3.0,10-12j_4-6m,1,1,15.9,1.0,1.7,1.1618708613731428
3,3.0,10-12j_4-6m,1,0,49.3,1.0,14.5,1.7018974819328094
3,3.0,10-12j_4-6m,0,0,49.3,1.0,21.1,1.9053754034001404
3,3.0,12-15j_4-6m,5,2,1.2,0.5,0.0,1.0
3,3.0,12-15j_4-6m,3,1,15.7,1.0,0.4,1.0643129889066183
3,3.0,12-15j_4-6m,2,1,19.1,1.0,0.5,1.1811253587048796
3,3.0,12-15j_4-6m,1,1,24.5,1.0,0.9,1.2250713916058247
3,3.0,12-15j_4-6m,1,0,62.9,1.0,19.9,1.9175187490933514
3,3.0,12-15j_4-6m,0,0,62.9,1.0,25.7,2.214228938962285
